id,industry,code,name
ciiu_2731,27,2731,"Fabricación de hilos y cables eléctricos y de fibra óptica"
ciiu_2732,27,2732,"Fabricación de dispositivos de cableado"
ciiu_2740,27,2740,"Fabricación de equipos eléctricos de iluminación"
ciiu_2750,27,2750,"Fabricación de aparatos de uso doméstico"
ciiu_2790,27,2790,"Fabricación de otros tipos de equipo eléctrico n.c.p."
ciiu_2811,28,2811,"Fabricación de motores  turbinas  y partes para motores de combustión interna"
ciiu_2812,28,2812,"Fabricación de equipos de potencia hidráulica y neumática"
ciiu_2813,28,2813,"Fabricación de otras bombas  compresores  grifos y válvulas"
ciiu_2814,28,2814,"Fabricación de cojinetes  engranajes  trenes de engranajes y piezas de transmisión"
ciiu_2815,28,2815,"Fabricación de hornos  hogares y quemadores industriales"
ciiu_2816,28,2816,"Fabricación de equipo de elevación y manipulación"
ciiu_2817,28,2817,"Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico)"
ciiu_2818,28,2818,"Fabricación de herramientas manuales con motor"
ciiu_2819,28,2819,"Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p."
ciiu_2821,28,2821,"Fabricación de maquinaria agropecuaria y forestal"
ciiu_2822,28,2822,"Fabricación de máquinas formadoras de metal y de máquinas herramienta"
ciiu_2823,28,2823,"Fabricación de maquinaria para la metalurgia"
ciiu_2824,28,2824,"Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción"
ciiu_2825,28,2825,"Fabricación de maquinaria para la elaboración de alimentos  bebidas y tabaco"
ciiu_2826,28,2826,"Fabricación de maquinaria para la elaboración de productos textiles  prendas de vestir y cueros"
ciiu_2829,28,2829,"Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p."
ciiu_2910,29,2910,"Fabricación de vehículos automotores y sus motores"
ciiu_2920,29,2920,"Fabricación de carrocerías para vehículos automotores, fabricación de remolques y semirremolques "
ciiu_2930,29,2930,"Fabricación de partes  piezas (autopartes) y accesorios (lujos) para vehículos automotores"
ciiu_3011,30,3011,"Construcción de barcos y de estructuras flotantes"
ciiu_3012,30,3012,"Construcción de embarcaciones de recreo y deporte"
ciiu_3020,30,3020,"Fabricación de locomotoras y de material rodante para ferrocarriles"
ciiu_3030,30,3030,"Fabricación de aeronaves  naves espaciales y de maquinaria conexa"
ciiu_3040,30,3040,"Fabricación de vehículos militares de combate"
ciiu_3091,30,3091,"Fabricación de motocicletas"
ciiu_3092,30,3092,"Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad"
ciiu_3099,30,3099,"Fabricación de otros tipos de equipo de transporte n.c.p."
ciiu_3110,31,3110,"Fabricación de muebles "
ciiu_3120,31,3120,"Fabricación de colchones y somieres"
ciiu_3210,32,3210,"Fabricación de joyas  bisutería y artículos conexos"
ciiu_3220,32,3220,"Fabricación de instrumentos musicales"
ciiu_3230,32,3230,"Fabricación de artículos y equipo para la práctica del deporte"
ciiu_3240,32,3240,"Fabricación de juegos  juguetes y rompecabezas"
ciiu_3250,32,3250,"Fabricación de instrumentos  aparatos y materiales médicos y odontológicos (incluido mobiliario)"
ciiu_3290,32,3290,"Otras industrias manufactureras n.c.p."
ciiu_3311,33,3311,"Mantenimiento y reparación especializado de productos elaborados en metal"
ciiu_3312,33,3312,"Mantenimiento y reparación especializado de maquinaria y equipo"
ciiu_3313,33,3313,"Mantenimiento y reparación especializado de equipo electrónico y óptico"
ciiu_3314,33,3314,"Mantenimiento y reparación especializado de equipo eléctrico"
ciiu_3315,33,3315,"Mantenimiento y reparación especializado de equipo de transporte  excepto los vehículos automotores  motocicletas y bicicletas"
ciiu_3319,33,3319,"Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p."
ciiu_3320,33,3320,"Instalación especializada de maquinaria y equipo industrial "
ciiu_3511,35,3511,"Generación de energía eléctrica"
ciiu_3512,35,3512,"Transmisión de energía eléctrica"
ciiu_3513,35,3513,"Distribución de energía eléctrica"
ciiu_3514,35,3514,"Comercialización de energía eléctrica"
ciiu_3520,35,3520,"Producción de gas, distribución de combustibles gaseosos por tuberías"
ciiu_3530,35,3530,"Suministro de vapor y aire acondicionado"
ciiu_3600,36,3600,"Captación  tratamiento y distribución de agua"
ciiu_3700,37,3700,"Evacuación y tratamiento de aguas residuales"
ciiu_3811,38,3811,"Recolección de desechos no peligrosos"
ciiu_3812,38,3812,"Recolección de desechos peligrosos"
ciiu_3821,38,3821,"Tratamiento y disposición de desechos no peligrosos"
ciiu_3822,38,3822,"Tratamiento y disposición de desechos peligrosos"
ciiu_3830,38,3830,"Recuperación de materiales"
ciiu_3900,39,3900,"Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
ciiu_4111,41,4111,"Construcción de edificios residenciales"
ciiu_4112,41,4112,"Construcción de edificios no residenciales"
